"Sale","InStrSpending","Discount","TVSpending","StockRate","Price","Radio","OnlineAdsSpending"
240368,59.9,0.46,46.3,0.45,12.56,1065,1081.6
207276,7.28,0.39,166.91,0.05,5.44,1832,651.24
172572,9.81,0.41,73.67,0.06,3.54,587,1066.56
82697,46.94,0.27,33.95,0.88,28.9,1407,1855.27
141762,2.59,0.26,82.63,0.36,4.66,2057,1608.91
271990,57.08,0.17,160.76,0.93,15.6,1723,2916.29
186979,40.09,0.25,42.25,0.61,10.6,1345,1797.1
176084,38.61,0.07,132.34,0.18,20.88,847,1610.31
98234,4.94,0.41,33.06,0.04,9.76,281,1073.3
262918,51.77,0.24,197.89,0.76,18.66,2577,1281.06
161146,0.31,0.38,75.81,0.48,0.8,1240,2366.6
192936,21.28,0.08,50.18,0.67,2.24,2888,2197.37
231571,32.4,0.15,47.63,0.95,0.6,1502,1630.43
261538,24.26,0.34,152.49,0.13,3.87,1978,969.81
294432,41.37,0.22,100.07,0.69,0.34,915,2986.22
176874,13.71,0.3,33.98,0.44,0.43,1230,1605.98
213508,56.23,0.47,107.11,0.63,19.8,1743,2343.1
288236,56.22,0.21,40.89,0.17,3.83,2562,538.36
45266,12.15,0.03,96.8,0.16,26.78,1632,1506.24
85558,11.19,0.32,20.38,0.08,12.83,1152,2633.61
88238,28.45,0.13,74.78,0.82,23.56,2887,2866.61
159466,49.35,0.19,47.39,0.3,20.06,687,1457.49
89318,20.11,0.18,60.21,0.55,19.01,401,53.35
251450,43.97,0.39,8.38,0.3,0.76,969,2281.65
271385,25.95,0.49,135.7,0.07,1.55,2024,89.09
304219,53.17,0.37,145.67,0.33,8.83,247,806.39
206719,0.59,0.02,176.51,0.06,2.82,2529,1548.41
181024,57.48,0.49,102.82,0.97,24.52,628,157.27
340742,43.49,0.08,196.07,0.79,2.93,363,297.66
155475,46.1,0.4,119.81,0.77,24.86,773,3173.2
270056,37.65,0.27,190.28,0.99,9.76,1104,2851.12
254070,39.83,0.34,149.64,0.99,9.6,364,1464.85
135519,57.34,0.25,49.51,0.53,26.88,800,869.5
262077,45.67,0.04,44.09,0.18,3.12,270,495.49
41977,21.55,0.22,17.68,0.15,24.43,1659,2662.21
215385,47.92,0.21,168.18,0.31,22.13,2941,2186.16
